genus_name,species_name,max,median
ACER,SACCHARINUM,182,26
ACER,PLATANOIDES,161,12
ACER,RUBRUM,151,6
ULMUS,AMERICANA,144,24.5
PRUNUS,SERRULATA,141,17
CERCIDIPHYLLUM,JAPONICUM,131,5
CASTANEA,DENTATA,99,21
CHAMAECYPARIS,LAWSONIANA,99,18
CHAMAECYPARIS,NOOTKATENSIS,99,11
CORNUS,NUTTALLII,99,15
PRUNUS,LUSITANICA,99,6
QUERCUS,PALUSTRIS,99,10
SORBUS,AUCUPARIA,99,3.5
THUJA,PLICATA,99,15.6
TILIA,CORDATA,99,12.5
FRAXINUS,OXYCARPA,97.5,11.25
PRUNUS,CERASIFERA,95,12
TILIA,EUCHLORA   X,93.5,13
CARPINUS,BETULUS,86,7
FRAXINUS,AMERICANA,81,6
SEQUOIADENDRON,GIGANTEUM,75,10
POPULUS,NIGRA,72,23
ROBINIA,PSEUDOACACIA,72,13.5
CEDRUS,DEODARA,71,22
ACER,TRUNCATUM,66,4
CALOCEDRUS,DECURRENS,66,6
FRAXINUS,PENNSYLVANICA,66,7
PRUNUS,X YEDOENSIS,66,4.5
AESCULUS,HIPPOCASTANUM,64,26
SALIX,SPECIES,64,24
ACER,PSEUDOPLATANUS,62,16
PSEUDOTSUGA,MENZIESII,62,22
ACER,MACROPHYLLUM,60,25
JUNIPERUS,COMMUNIS,60,18.75
SEQUOIA,SEMPREVIRENS,59,11
LIRIODENDRON,TULIPIFERA,57,11
PLATANUS,ACERIFOLIA   X,57,19
PARROTIA,PERSICA,55,3
ACER,FREEMANI   X,54.5,5
FAGUS,SYLVATICA,54.5,5
PINUS,PONDEROSA,54.5,13
QUERCUS,RUBRA,54,25
LIQUIDAMBAR,STYRACIFLUA,53,8
POPULUS,TRICHOCARPA,53,28.5
ULMUS,PROCERA,53,27.25
CASTANEA,SATIVA,52,22
ACER,PALMATUM,51,4
QUERCUS,ROBUR,50.5,17
CATALPA,BIGNONIOIDES,50.25,26
METASEQUOIA,GLYPTOSTROBOIDES,50,10.5
PRUNUS,AVIUM,49.5,16
CUPRESSOCYPARIS   X,LEYLANDII,49,37.25
BETULA,PENDULA,48,18
CATALPA,SPECIES,48,28
CEDRUS,ATLANTICA,48,9.625
PRUNUS,SUBHIRTELLA,47,19
QUERCUS,SPECIES,47,7
CHAMAECYPARIS,PISIFERA,46.8,18
ACER,NEGUNDO,46,20
ULMUS,PUMILA,46,24
CASTANEA,SPECIES,45.5,10.375
MALUS,ZUMI,45,4.5
PINUS,NIGRA,45,16
PINUS,SYLVESTRIS,45,15
QUERCUS,COCCINEA,45,7
BETULA,PAPYRIFERA,44.5,18.5
BETULA,PLATYPHYLLA,44,37.5
CATALPA,SPECIOSA,44,26
MAGNOLIA,KOBUS,44,6
POPULUS,CANESCENS   X,44,35
PTEROCARYA,FRAXINIFOLIA,44,23.5
ACER,SACCHARUM,43,18
FRAXINUS,EXCELSIOR,43,13.5
ILEX,AQUIFOLIUM,43,12
ULMUS,GLABRA,43,25
ABIES,GRANDIS,42.5,10
TSUGA,HETEROPHYLLA,42.5,18
TSUGA,MERTENSIANA,42.5,18
ABIES,SPECIES,42,14
TILIA,AMERICANA,42,14.625
TSUGA,CANADENSIS,42,19
ULMUS,SPECIES,42,19.5
JUGLANS,CINEREA,41,18
THUJA,OCCIDENTALIS,41,6
ULMUS,HOLLANDICA   X,41,27.5
FRAXINUS,VELUTINA,40.5,12
PRUNUS,SPECIES,40.5,11
SALIX,BABYLONICA,40.5,23
ALNUS,RUGOSA,40,14
CORNUS,CONTROVERSA,40,3
JUGLANS,AILANTHIFOLIA,40,34
JUGLANS,NIGRA,40,18
PRUNUS,SARGENTII,40,8.75
SALIX,ALBA,40,25.5
THUJA,SPECIES,40,5.5
ALNUS,RUBRA,38.5,20
ULMUS,CARPINIFOLIA,38.5,29.5
CEDRUS,SPECIES,38,13.75
GLEDITSIA,TRIACANTHOS,38,6
PICEA,SPECIES,38,15.5
POPULUS,ALBA,38,33
POPULUS,SPECIES,38,14
PRUNUS,PADUS,38,23.65
PYRUS,CALLERYANA,38,4
FRAXINUS,ORNUS,37,5.5
JUGLANS,SPECIES,37,11
PRUNUS,BLIREANA,37,10
BETULA,POPULIFOLIA,36,23
CORYLUS,MAXIMA,36,14
QUERCUS,ACUTISSIMA,36,8.5
SORBUS,AMERICANA,36,10
TILIA,EUROPAEA   X,36,15
ZELKOVA,SERRATA,36,5
CARPINUS,CAROLINIANA,35,3
CHAMAECYPARIS,SPECIES,35,16
PICEA,ABIES,35,12
TILIA,TOMENTOSA,35,25
ACER,GINNALA,34,11.625
AESCULUS,CARNEA   X,34,5
CRATAEGUS,OXYACANTHA,34,10
PINUS,SPECIES,34,12
PRUNUS,VIRGINIANA,34,3
ACER,CAMPESTRE,33,7.5
ARBUTUS,MENZIESII,33,19
MORUS,ALBA,33,3
PICEA,PUNGENS,33,11
PINUS,CONTORTA,33,11.625
PINUS,GRIFFITHII,33,32
JUGLANS,REGIA,32.5,17
ARAUCARIA,ARAUCANA,32,8.5
CHAMAECYPARIS,OBTUSA,32,12.5
FRAXINUS,QUADRANGULATA,32,23.75
PRUNUS,PENNSYLVANICA,32,22.5
QUERCUS,GARRYANA,32,11.5
QUERCUS,MACROCARPA,32,5.5
PRUNUS,HILLIERI,31.75,17.5
SORBUS,ARIA,31.5,5.5
CORNUS,KOUSA,31,3
CORNUS,FLORIDA,30,8
CORNUS,SPECIES,30,4.5
CORYLUS,SPECIES,30,10
FRAXINUS,SPECIES,30,12
JUNIPERUS,VIRGINIANA,30,12
POPULUS,TREMULOIDES,30,10.75
SORBUS,SPECIES,30,6
ABIES,CONCOLOR,29.5,17
ACER,CAPPADOCICUM,29.5,5.75
ACER,CIRCINATUM,29,6
GINKGO,BILOBA,29,3
JUNIPERUS,SPECIES,29,13
PRUNUS,SEROTINA,29,20
ACER,CISSIFOLIUM,28.5,16.5
BETULA,NIGRA,28,23.25
MAGNOLIA,ACUMINATA,28,7
MAGNOLIA,SPECIES,28,6
ACER,PENNSYLVANICUM,27,4.5
ACER,SPICATUM,27,18
AESCULUS,PAVIA,27,15
ILEX,SPECIES,27,12
JUNIPERUS,CHINENSIS,27,25.5
PICEA,SITCHENSIS,27,10
PLATANUS,ORIENTALIS,27,26.25
ALNUS,SPECIES,26.5,19
FRAXINUS,ANGUSTIFOLIA,26.5,21
ABIES,BALSAMEA,26,15
LABURNUM,WATERERI  X,26,12.5
LIRIODENDRON,CHINENSE,26,7
PINUS,MONTICOLA,26,18
SOPHORA,JAPONICA,26,5
POPULUS,XX,25,18
ACER,DAVIDII,24.5,13.5
LABURNUM,ANAGYROIDES,24.5,13.5
ACER,NIGRUM,24,7
CRATAEGUS,LAVALLEI  X,24,4
LARIX,DECIDUA,24,13.5
MAGNOLIA,SOULANGEANA  X,24,10.65
NYSSA,SYLVATICA,24,3
PHELLODENDON,AMURENSE,24,19
PRUNUS,EMARGINATA,24,24
RHAMNUS,PURSHIANA,24,7.5
RHUS,TYPHINA,24,6
TAXUS,BACCATA,24,12
ACER,ARGUTUM,23.75,18
ACER,GLABRUM,23,7
CASTANEA,CRENATA,23,22.5
MAGNOLIA,LILIIFLORA,23,4.75
MALUS,PENDULA,23,8
PICEA,GLAUCA,23,6.625
PINUS,BANKSIANA,23,16
SALIX,MATSUDANA,23,12
TILIA,PLATYPHYLLOS,23,9
PTELEA,TRIFOLIATA,22.5,21
CORNUS,RACEMOSA,22,3
CRYPTOMERIA,JAPONICA,22,9
PICEA,ENGELMANNII,22,18
PINUS,THUNBERGII,22,22
AILANTHUS,ALTISSIMA,21.5,19.5
MALUS,SPECIES,21.5,5
ACER,TATARICUM,21,6.5
CARPINUS,SPECIES,21,8.5
MALUS,FLORIBUNDA,21,7.5
PICEA,MARIANA,21,15.25
PTEROCARYA,STENOPTERA,21,13.5
QUERCUS,FRAINETTO,21,4
SORBUS,ALNIFOLIA,20.25,5
AMELANCHIER,CANADENSIS,20,3
CORYLUS,AMERICANA,20,12
CORYLUS,COLURNA,20,9.5
CRATAEGUS,CRUS-GALLI,20,6
CRATAEGUS,PHAENOPYRUM,20,5
CRATAEGUS,SPECIES,20,13
DAVIDIA,INVOLUCRATA,20,4
FAGUS,CRENATA,20,9.75
MALUS,PUMILA,20,7
PRUNUS,SIMONII,20,14.75
SORBUS,VILMORINII,20,13.5
CRATAEGUS,MONOGYNA,19,12
PINUS,STROBUS,18.75,18.375
KOELREUTERIA,PANICULATA,18.5,8
PRUNUS,SERRULA,18.25,9.75
LIQUIDAMBAR,SPECIES,18,6
PICEA,OMORIKA,18,3
PRUNUS,DOMESTICA,18,5
PAULOWNIA,TOMENTOSA,17.5,11
AESCULUS,GLABRA,17,9.5
CLADRASTIS,LUTEA,17,8
CORNUS,XX,17,3
FRAXINUS,LATIFOLIA,17,14.5
SCIADOPITYS,VERTICILLATA,17,17
CELTIS,OCCIDENTALIS,16.25,3
ACER,JAPONICUM,16,7.5
CRATAEGUS,MOLLIS,16,9
CRATAEGUS,XX,16,12.5
MAGNOLIA,GRANDIFLORA,16,3
MALUS,XX,16,3
QUERCUS,SHUMARDII,16,8
STEWARTIA,PSEUDOCAMELLIA,16,3
CORNUS,MAS,15.5,4.125
PRUNUS,TRILOBA,15,14
FICUS,CARICA,14.75,5
CARPINUS,JAPONICA,14.5,3
CATALPA,HYBRIDA X,14.25,3
ABIES,PROCERA,14,11
CORYLUS,AVELLANA,14,3
CRATAEGUS,DOUGLASII,14,3
PRUNUS,PERSICA,14,14
PRUNUS,SALICINA,14,3
PYRUS,SPECIES,14,5.5
QUERCUS,XX,14,12
MALUS,YUNNANENSIS,13.5,8.875
MALUS,MICROMALUS   X,13.25,3
CATALPA,BUNGEI,13,6.5
CRATAEGUS,MORDENSIS,13,3
MALUS,SARGENTII,13,12.5
QUERCUS,PRINUS,13,10
ABIES,NORDMANNIANA,12,12
ACER,CAPILLIPES,12,6
ACER,GRISEUM,12,3
ARALIA,ELATA,12,6.125
BETULA,JACQUEMONTII,12,7.75
EUONYMUS,EUROPEA,12,3
MAGNOLIA,SIEBOLDII,12,3
MALUS,SPECTABILIS,12,4.5
NOTHOFAGUS,ANTARTICA,12,6
PICEA,ORIENTALIS,12,7.5
PINUS,MUGO,12,8
SORBUS,THURINGIACA   X,12,6
SYRINGA,RETICULATA,12,3
SYRINGA,SPECIES,12,3
LAURUS,NOBILIS,11.5,7
MANGLIETIA,INSIGNIS,11.5,3
MALUS,BACCATA,11.25,3.5
MALUS,TRANSITORIA,10.5,3
ALNUS,GLUTINOSA,10,9.75
BETULA,ALBA-SINENSIS,10,9
CERCIS,CANADENSIS,10,3
EUCOMMIA,ULMOIDES,10,6.5
LABURNUM,SPECIES,10,6
MAGNOLIA,DENUDATA,10,3.125
MAGNOLIA,VEITCHII   X,10,10
PTEROSTYRAX,HISPIDA,10,6
SYRINGA,VULGARIS,10,4
TAXODIUM,DISTICHUM,10,4
CATALPA,ERUBESCENS,9.5,3.5
MAGNOLIA,STELLATA,9.5,6.5
OSTRYIA,VIRGINIANA,9.5,7
ACER,BARBATUM,9,9
HIBISCUS,SYRIACA,9,3
MAGNOLIA,KEWENSIS X,9,3
MAGNOLIA,XX,9,3
QUERCUS,X WAREI,9,3
MAGNOLIA,DAWSONIANA,8.5,4
FAGUS,GRANDIFOLIA,8,3
FRAXINUS,NIGRA,8,3
LABURNUM,ALPINUM,8,8
PINUS,PARVIFLORA,8,7
THUJA,ORIENTALIS,8,6
TRACHYCARPUS,FORTUNEI,8,6
STYRAX,OBASSIA,7.75,4
CHITALPA,TASHKENTENSIS,7.5,3
ARBUTUS,UNEDO,7,7
MESPILUS,GERMANICA,7,3.75
RHUS,SPECIES,7,5
ACER,HENRYI,6.5,3.375
MAGNOLIA,LOEBNERI  X,6.5,5
QUERCUS,MYRSINIFOLIA,6.25,5
ACER,TEGMENTOSUM,6,3
ALBIZIA,JULIBRISSIN,6,6
GYMNOCLADUS,DIOICUS,6,3
HALESIA,MONTICOLA,6,6
MALUS,HUPEHENSIS,6,4.5
PRUNUS,MAACKII,6,3
TAXODIUM,ASCENDENS,6,5
AMELANCHIER,LAEVIS,5,2.625
CLERODENDRON,TRICHOTOMUM,5,5
CORNUS,OFFICIANALIS,5,3
KALOPANAX,SEPTEMLOBUS,5,5
PINUS,JEFFREYI,5,4.5
STEWARTIA,MONADELPHA,5,3
AESCULUS,ARNOLDIANA X,4.5,3
CATALPA,OVATA,4.25,4.25
CORYLUS,COLUMA,4.25,3.375
OXYDENDRUM,ARBOREUM,4.25,3
ABIES,LASIOCARPA,4,4
AESCULUS,FLAVA,4,3
AMELANCHIER,GRANDIFLORA X,4,3
ILEX,MESERVEAE,4,3.2
MAGNOLIA,OFFICINALIS,4,3
MAGNOLIA,SARGENTIANA,4,3
PICEA,LIKIANGENSIS,4,3
POPULUS,TREMULA,4,3
PINUS,FLEXILUS,3.75,3
ACER,PSEUDOSIEBOLDIANUM,3.5,3
SORBUS,TIANSHANICA,3.5,3
ABIES,KOREANA,3,3
ACER,MIYABEI,3,3
CERCIS,CHINENSIS,3,3
CORNUS,CAPITATA,3,3
FICUS,SPECIES,3,3
HIPPOPHAE,RHAMNOIDES,3,3
MAGNOLIA,CYLINDRICA,3,3
MAGNOLIA,SPRENGERI,3,3
MAGNOLIA,VIRGINIANA,3,3
MAGNOLIA,ZENII,3,3
MALUS,DOMESTICA,3,3
MICHELIA,WILSONII,3,3
NYSSA,SINENSIS,3,3
PRUNUS,ARMENIACA,3,3
PRUNUS,COCOMILIA,3,3
PRUNUS,SWEETHEART,3,3
PYRUS,COMMUNIS,3,3
QUERCUS,ELLIPSOIDALIS,3,3
QUERCUS,ROBUR X ALBA,3,3
QUERCUS,X BIMUNDORUM,3,3
STEWARTIA,KOREANA,3,3
VIBURNUM,LENTAGO,3,3
AMELANCHIER,ALBA,2,1.5
EUCALYPTUS,SPECIES,2,1.5
